rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
127,frame_0171.jpg,68.4,0.4191,0.4622,0.3333,0.44,3,2,False,False
128,frame_0305.jpg,122.0,0.419,0.4261,0.5,0.28,6,3,False,False
129,frame_0217.jpg,86.8,0.4157,0.4714,0.3333,0.4,2,2,False,False
130,frame_0005.jpg,2.0,0.4154,0.3308,0.1667,1.0,4,1,False,False
131,frame_0078.jpg,31.2,0.4139,0.2918,0.3333,0.84,5,2,False,False
132,frame_0095.jpg,38.0,0.4139,0.4638,0.5,0.16,6,3,False,False
133,frame_0096.jpg,38.4,0.4134,0.4788,0.5,0.12,7,3,False,False
134,frame_0309.jpg,123.6,0.4123,0.4766,0.5,0.12,4,3,False,False
135,frame_0173.jpg,69.2,0.412,0.38,0.5,0.36,6,3,False,False
136,frame_0006.jpg,2.4,0.4117,0.3233,0.1667,1.0,3,1,False,False
137,frame_0106.jpg,42.4,0.411,0.5059,0.5,0.04,6,3,False,False
138,frame_0188.jpg,75.2,0.4099,0.4038,0.6667,0.04,8,4,False,False
139,frame_0295.jpg,118.0,0.4096,0.3473,0.3333,0.68,7,2,False,False
140,frame_0098.jpg,39.2,0.4065,0.3969,0.6667,0.04,5,4,False,False
141,frame_0313.jpg,125.2,0.4052,0.5945,0.3333,0.04,2,2,False,False
142,frame_0011.jpg,4.4,0.4044,0.3087,0.1667,1.0,3,1,False,False
143,frame_0121.jpg,48.4,0.404,0.384,0.3333,0.56,3,2,False,False
144,frame_0108.jpg,43.2,0.4038,0.4916,0.5,0.04,6,3,False,False
145,frame_0007.jpg,2.8,0.4025,0.3049,0.1667,1.0,4,1,False,False
146,frame_0109.jpg,43.6,0.4019,0.4718,0.5,0.08,4,3,False,False
147,frame_0170.jpg,68.0,0.4008,0.4096,0.3333,0.48,7,2,False,False
148,frame_0097.jpg,38.8,0.3999,0.4678,0.5,0.08,5,3,False,False
149,frame_0012.jpg,4.8,0.3998,0.2995,0.1667,1.0,3,1,False,False
150,frame_0399.jpg,159.6,0.3992,0.3864,0.5,0.28,6,3,False,False
151,frame_0094.jpg,37.6,0.3974,0.4149,0.5,0.2,4,3,False,False
152,frame_0104.jpg,41.6,0.3962,0.4444,0.5,0.12,3,3,False,False
153,frame_0370.jpg,148.0,0.3951,0.4742,0.5,0.04,8,3,False,False
154,frame_0184.jpg,73.6,0.3945,0.457,0.5,0.08,6,3,False,False
155,frame_0013.jpg,5.2,0.3902,0.2804,0.1667,1.0,3,1,False,False
156,frame_0283.jpg,113.2,0.3901,0.4721,0.1667,0.52,4,1,False,False
157,frame_0114.jpg,45.6,0.3884,0.3648,0.5,0.28,6,3,False,False
158,frame_0322.jpg,128.8,0.3874,0.3108,0.6667,0.16,5,4,False,False
159,frame_0172.jpg,68.8,0.3849,0.4099,0.3333,0.4,4,2,False,False
160,frame_0003.jpg,1.2,0.3847,0.2694,0.1667,1.0,4,1,False,False
161,frame_0389.jpg,155.6,0.3836,0.4192,0.5,0.12,8,3,False,False
162,frame_0298.jpg,119.2,0.3828,0.3416,0.3333,0.56,6,2,False,False
163,frame_0381.jpg,152.4,0.3821,0.5482,0.3333,0.04,5,2,False,False
164,frame_0220.jpg,88.0,0.3818,0.4517,0.3333,0.28,3,2,False,False
165,frame_0281.jpg,112.4,0.381,0.3861,0.3333,0.44,3,2,False,False
166,frame_0280.jpg,112.0,0.3809,0.4019,0.3333,0.4,5,2,False,False
167,frame_0179.jpg,71.6,0.3795,0.411,0.5,0.12,5,3,False,False
168,frame_0183.jpg,73.2,0.3762,0.4364,0.5,0.04,4,3,False,False
169,frame_0195.jpg,78.0,0.3752,0.4225,0.3333,0.32,3,2,False,False
170,frame_0394.jpg,157.6,0.3751,0.4183,0.5,0.08,3,3,False,False
171,frame_0300.jpg,120.0,0.3749,0.3578,0.3333,0.48,6,2,False,False
172,frame_0080.jpg,32.0,0.3742,0.3444,0.1667,0.76,4,1,False,False
173,frame_0196.jpg,78.4,0.3742,0.4044,0.3333,0.36,2,2,False,False
174,frame_0299.jpg,119.6,0.3726,0.3372,0.3333,0.52,6,2,False,False
175,frame_0017.jpg,6.8,0.372,0.244,0.1667,1.0,4,1,False,False
176,frame_0028.jpg,11.2,0.3698,0.2395,0.1667,1.0,4,1,False,False
177,frame_0315.jpg,126.0,0.3681,0.3882,0.5,0.12,6,3,False,False
178,frame_0198.jpg,79.2,0.3679,0.4598,0.1667,0.44,2,1,False,False
179,frame_0273.jpg,109.2,0.3663,0.3846,0.5,0.12,4,3,False,False
180,frame_0117.jpg,46.8,0.3649,0.3699,0.3333,0.4,5,2,False,False
181,frame_0085.jpg,34.0,0.3644,0.4047,0.1667,0.56,2,1,False,False
182,frame_0214.jpg,85.6,0.3573,0.4066,0.1667,0.52,2,1,False,False
183,frame_0388.jpg,155.2,0.3558,0.3477,0.5,0.16,8,3,False,False
184,frame_0191.jpg,76.4,0.3548,0.4457,0.3333,0.16,2,2,False,False
185,frame_0269.jpg,107.6,0.354,0.392,0.5,0.04,5,3,False,False
186,frame_0279.jpg,111.6,0.3507,0.3574,0.3333,0.36,6,2,False,False
187,frame_0211.jpg,84.4,0.3467,0.3374,0.1667,0.64,2,1,False,False
188,frame_0127.jpg,50.8,0.3446,0.3692,0.0,0.8,5,0,False,False
189,frame_0190.jpg,76.0,0.3419,0.4359,0.3333,0.12,3,2,False,False
190,frame_0228.jpg,91.2,0.3363,0.4567,0.3333,0.04,3,2,False,False
191,frame_0174.jpg,69.6,0.3321,0.3363,0.3333,0.32,4,2,False,False
192,frame_0115.jpg,46.0,0.3316,0.3352,0.3333,0.32,7,2,False,False
193,frame_0372.jpg,148.8,0.3278,0.3077,0.5,0.12,5,3,False,False
194,frame_0111.jpg,44.4,0.3269,0.3899,0.3333,0.16,4,2,False,False
195,frame_0086.jpg,34.4,0.3268,0.3455,0.1667,0.52,3,1,False,False
196,frame_0103.jpg,41.2,0.3223,0.3807,0.3333,0.16,4,2,False,False
197,frame_0206.jpg,82.4,0.3197,0.2353,0.1667,0.76,3,1,False,False
198,frame_0082.jpg,32.8,0.3196,0.2672,0.1667,0.68,3,1,False,False
199,frame_0178.jpg,71.2,0.3187,0.3734,0.3333,0.16,5,2,False,False
200,frame_0396.jpg,158.4,0.3186,0.3732,0.3333,0.16,6,2,False,False
201,frame_0100.jpg,40.0,0.3183,0.4206,0.3333,0.04,4,2,False,False
202,frame_0023.jpg,9.2,0.3182,0.2364,0.0,1.0,1,0,False,False
203,frame_0223.jpg,89.2,0.3163,0.3687,0.3333,0.16,5,2,False,False
204,frame_0185.jpg,74.0,0.3158,0.3996,0.3333,0.08,5,2,False,False
205,frame_0083.jpg,33.2,0.3144,0.2728,0.1667,0.64,3,1,False,False
206,frame_0222.jpg,88.8,0.3143,0.3486,0.3333,0.2,4,2,False,False
207,frame_0230.jpg,92.0,0.3127,0.3774,0.3333,0.12,7,2,False,False
208,frame_0189.jpg,75.6,0.3067,0.3814,0.3333,0.08,5,2,False,False
209,frame_0395.jpg,158.0,0.3065,0.3651,0.3333,0.12,5,2,False,False
210,frame_0081.jpg,32.4,0.3014,0.2147,0.1667,0.72,6,1,False,False
211,frame_0120.jpg,48.0,0.2997,0.2914,0.1667,0.52,4,1,False,False
212,frame_0192.jpg,76.8,0.2983,0.3166,0.3333,0.2,4,2,False,False
213,frame_0323.jpg,129.2,0.2983,0.3487,0.3333,0.12,4,2,False,False
214,frame_0215.jpg,86.0,0.2946,0.2972,0.1667,0.48,2,1,False,False
215,frame_0319.jpg,127.6,0.2928,0.2736,0.3333,0.28,5,2,False,False
216,frame_0212.jpg,84.8,0.2897,0.2393,0.1667,0.6,2,1,False,False
217,frame_0327.jpg,130.8,0.2871,0.4582,0.1667,0.04,8,1,False,False
218,frame_0202.jpg,80.8,0.2861,0.2321,0.1667,0.6,5,1,False,False
219,frame_0090.jpg,36.0,0.2838,0.3236,0.1667,0.36,4,1,False,False
220,frame_0118.jpg,47.2,0.2826,0.2892,0.1667,0.44,5,1,False,False
221,frame_0022.jpg,8.8,0.2811,0.1622,0.0,1.0,1,0,False,False
222,frame_0272.jpg,108.8,0.2795,0.3271,0.3333,0.08,4,2,False,False
223,frame_0316.jpg,126.4,0.2794,0.3948,0.1667,0.16,7,1,False,False
224,frame_0229.jpg,91.6,0.2792,0.3264,0.3333,0.08,6,2,False,False
225,frame_0393.jpg,157.2,0.2792,0.4423,0.1667,0.04,3,1,False,False
226,frame_0383.jpg,153.2,0.279,0.31,0.3333,0.12,5,2,False,False
227,frame_0311.jpg,124.4,0.2764,0.4367,0.1667,0.04,4,1,False,False
228,frame_0092.jpg,36.8,0.273,0.3339,0.1667,0.28,2,1,False,False
229,frame_0180.jpg,72.0,0.2703,0.3086,0.3333,0.08,4,2,False,False
230,frame_0205.jpg,82.0,0.2689,0.2498,0.0,0.72,1,0,False,False
231,frame_0213.jpg,85.2,0.2685,0.2129,0.1667,0.56,3,1,False,False
232,frame_0091.jpg,36.4,0.2626,0.2971,0.1667,0.32,3,1,False,False
233,frame_0218.jpg,87.2,0.2569,0.2697,0.1667,0.36,3,1,False,False
234,frame_0093.jpg,37.2,0.2456,0.2951,0.1667,0.24,2,1,False,False
235,frame_0177.jpg,70.8,0.2398,0.2996,0.1667,0.2,5,1,False,False
236,frame_0310.jpg,124.0,0.2397,0.3474,0.1667,0.08,2,1,False,False
237,frame_0382.jpg,152.8,0.2329,0.3337,0.1667,0.08,4,1,False,False
238,frame_0203.jpg,81.2,0.2293,0.2027,0.0,0.64,3,0,False,False
239,frame_0201.jpg,80.4,0.2267,0.2294,0.0,0.56,3,0,False,False
240,frame_0219.jpg,87.6,0.2246,0.2211,0.1667,0.32,3,1,False,False
241,frame_0119.jpg,47.6,0.2197,0.2474,0.0,0.48,2,0,False,False
242,frame_0324.jpg,129.6,0.2194,0.3067,0.1667,0.08,3,1,False,False
243,frame_0204.jpg,81.6,0.2137,0.1554,0.0,0.68,2,0,False,False
244,frame_0221.jpg,88.4,0.2062,0.2164,0.1667,0.24,4,1,False,False
245,frame_0199.jpg,79.6,0.2045,0.2169,0.0,0.48,2,0,False,False
246,frame_0200.jpg,80.0,0.202,0.1959,0.0,0.52,2,0,False,False
247,frame_0268.jpg,107.2,0.1977,0.2634,0.1667,0.08,5,1,False,False
248,frame_0267.jpg,106.8,0.1973,0.2465,0.1667,0.12,4,1,False,False
249,frame_0271.jpg,108.4,0.1973,0.3786,0.0,0.04,3,0,False,False
250,frame_0391.jpg,156.4,0.1932,0.2703,0.1667,0.04,6,1,False,False
251,frame_0101.jpg,40.4,0.1878,0.2436,0.1667,0.08,4,1,False,False
252,frame_0197.jpg,78.8,0.1851,0.2102,0.0,0.4,1,0,False,False
253,frame_0371.jpg,148.4,0.1767,0.2213,0.1667,0.08,6,1,False,False
254,frame_0226.jpg,90.4,0.1716,0.2271,0.1667,0.04,4,1,False,False
255,frame_0181.jpg,72.4,0.1708,0.2256,0.1667,0.04,7,1,False,False
256,frame_0325.jpg,130.0,0.1534,0.1908,0.1667,0.04,4,1,False,False
